Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score,Segment
12346,326,12,77556.46,2,5,5,255,12,Best Customers
12347,3,8,5633.32,5,4,5,545,14,Best Customers
12348,76,5,1659.4,3,4,4,344,11,Loyal/Valuable
12349,19,3,3418.19,5,3,5,535,13,Best Customers
12350,311,1,294.4,2,1,2,212,5,At Risk / Lost
12351,376,1,300.93,2,1,2,212,5,At Risk / Lost
12352,37,9,1729.54,4,5,4,454,13,Best Customers
12353,205,2,406.76,2,2,2,222,6,Regular
12354,233,1,1028.55,2,1,3,213,6,Regular
12355,215,2,947.61,2,2,3,223,7,Regular
12356,23,6,5613.68,4,4,5,445,13,Best Customers
12357,34,2,17412.66,4,2,5,425,11,Loyal/Valuable
12358,2,5,3447.07,5,4,5,545,14,Best Customers
12359,58,10,7263.84,4,5,5,455,14,Best Customers
12360,53,6,3511.19,4,4,5,445,13,Best Customers
12361,288,4,451.25,2,3,2,232,7,Regular
12362,4,10,4524.78,5,5,5,555,15,Best Customers
12363,110,2,552.0,3,2,2,322,7,Regular
12364,8,4,1208.1,5,3,4,534,12,Best Customers
12365,292,1,320.69,2,1,2,212,5,At Risk / Lost
12366,634,1,500.24,1,1,2,112,4,At Risk / Lost
12367,5,1,150.9,5,1,1,511,7,Regular
12368,629,1,917.7,1,1,3,113,5,At Risk / Lost
12369,414,3,1511.15,1,3,4,134,8,Regular
12370,52,7,3960.31,4,4,5,445,13,Best Customers
12371,60,4,3347.38,3,3,5,335,11,Loyal/Valuable
12372,72,3,1196.04,3,3,3,333,9,Loyal/Valuable
12373,312,3,927.65,2,3,3,233,8,Regular
12374,26,3,2635.32,4,3,4,434,11,Loyal/Valuable
12375,11,2,377.5,5,2,2,522,9,Loyal/Valuable
12376,390,2,383.15,2,2,2,222,6,Regular
12377,316,4,3198.52,2,3,5,235,10,Loyal/Valuable
12378,130,2,5257.62,3,2,5,325,10,Loyal/Valuable
12379,82,4,1470.22,3,3,4,334,10,Loyal/Valuable
12380,22,8,6761.55,4,4,5,445,13,Best Customers
12381,5,5,1485.31,5,4,4,544,13,Best Customers
12383,185,5,1628.56,3,4,4,344,11,Loyal/Valuable
12384,29,2,425.27,4,2,2,422,8,Regular
12385,380,1,1668.4,2,1,4,214,7,Regular
12386,338,2,660.8,2,2,3,223,7,Regular
12387,416,1,110.04,1,1,1,111,3,At Risk / Lost
12388,16,8,3901.11,5,4,5,545,14,Best Customers
12389,403,3,1433.33,2,3,4,234,9,Loyal/Valuable
12390,80,1,470.94,3,1,2,312,6,Regular
12391,22,6,2475.82,4,4,4,444,12,Best Customers
12392,592,1,234.75,1,1,1,111,3,At Risk / Lost
12393,73,6,2399.45,3,4,4,344,11,Loyal/Valuable
12394,64,2,1080.48,3,2,3,323,8,Regular
12395,20,15,4511.32,5,5,5,555,15,Best Customers
12396,675,1,931.43,1,1,3,113,5,At Risk / Lost
12397,36,2,2096.25,4,2,4,424,10,Loyal/Valuable
12398,46,1,1435.66,4,1,4,414,9,Loyal/Valuable
12399,120,7,1842.3,3,4,4,344,11,Loyal/Valuable
12400,415,1,205.25,1,1,1,111,3,At Risk / Lost
12401,304,1,69.3,2,1,1,211,4,At Risk / Lost
12402,324,6,1136.9,2,4,3,243,9,Loyal/Valuable
12403,50,2,947.36,4,2,3,423,9,Loyal/Valuable
12405,149,1,1390.39,3,1,4,314,8,Regular
12406,23,5,6390.36,4,4,5,445,13,Best Customers
12407,50,5,1507.12,4,4,4,444,12,Best Customers
12408,33,8,3664.27,4,4,5,445,13,Best Customers
12409,79,7,22894.69,3,4,5,345,12,Best Customers
12410,309,3,773.71,2,3,3,233,8,Regular
12411,410,1,346.9,2,1,2,212,5,At Risk / Lost
12412,75,6,2404.93,3,4,4,344,11,Loyal/Valuable
12413,67,4,841.5,3,3,3,333,9,Loyal/Valuable
12414,218,4,532.41,2,3,2,232,7,Regular
12415,25,26,144023.42,4,5,5,455,14,Best Customers
12416,657,1,202.56,1,1,1,111,3,At Risk / Lost
12417,4,20,5719.66,5,5,5,555,15,Best Customers
12418,113,4,2021.2,3,3,4,334,10,Loyal/Valuable
12419,386,2,391.01,2,2,2,222,6,Regular
12420,64,1,566.49,3,1,2,312,6,Regular
12421,16,6,857.65,5,4,3,543,12,Best Customers
12422,96,12,3622.4,3,5,5,355,13,Best Customers
12423,1,10,2267.49,5,5,4,554,14,Best Customers
12424,163,4,3340.03,3,3,5,335,11,Loyal/Valuable
12425,79,2,1741.41,3,2,4,324,9,Loyal/Valuable
12426,195,2,1184.26,2,2,3,223,7,Regular
12427,22,3,949.3,4,3,3,433,10,Loyal/Valuable
12428,26,8,6371.36,4,4,5,445,13,Best Customers
12429,10,8,6979.91,5,4,5,545,14,Best Customers
12430,44,1,216.4,4,1,1,411,6,Regular
12431,36,25,10511.02,4,5,5,455,14,Best Customers
12432,43,4,4089.52,4,3,5,435,12,Best Customers
12433,1,10,20581.26,5,5,5,555,15,Best Customers
12434,85,3,1103.43,3,3,3,333,9,Loyal/Valuable
12435,80,6,13925.93,3,4,5,345,12,Best Customers
12436,100,1,429.01,3,1,2,312,6,Regular
12437,2,38,11282.4,5,5,5,555,15,Best Customers
12438,15,2,2466.85,5,2,4,524,11,Loyal/Valuable
12439,683,2,1158.18,1,2,3,123,6,Regular
12440,463,2,739.2,1,2,3,123,6,Regular
12441,367,1,311.1,2,1,2,212,5,At Risk / Lost
12442,4,1,144.06,5,1,1,511,7,Regular
12443,733,1,365.31,1,1,2,112,4,At Risk / Lost
12444,22,5,3647.61,4,4,5,445,13,Best Customers
12445,23,2,378.98,4,2,2,422,8,Regular
12446,58,1,1002.31,4,1,3,413,8,Regular
12447,244,1,431.49,2,1,2,212,5,At Risk / Lost
12448,45,1,300.45,4,1,2,412,7,Regular
12449,23,5,4274.89,4,4,5,445,13,Best Customers
12450,157,5,688.2,3,4,3,343,10,Loyal/Valuable
12451,11,8,12349.63,5,4,5,545,14,Best Customers
12452,17,1,350.57,5,1,2,512,8,Regular
12453,135,1,707.09,3,1,3,313,7,Regular
12454,57,4,16042.28,4,3,5,435,12,Best Customers
12455,74,9,5643.05,3,5,5,355,13,Best Customers
12456,45,3,2581.04,4,3,4,434,11,Loyal/Valuable
12457,67,7,2420.31,3,4,4,344,11,Loyal/Valuable
12458,72,4,1502.49,3,3,4,334,10,Loyal/Valuable
12459,606,1,398.36,1,1,2,112,4,At Risk / Lost
12460,457,1,296.65,1,1,2,112,4,At Risk / Lost
12461,155,1,626.88,3,1,3,313,7,Regular
12462,19,2,937.59,5,2,3,523,10,Loyal/Valuable
12463,54,4,1200.78,4,3,3,433,10,Loyal/Valuable
12464,11,8,855.35,5,4,3,543,12,Best Customers
12465,18,2,682.19,5,2,3,523,10,Loyal/Valuable
12467,424,1,132.8,1,1,1,111,3,At Risk / Lost
12468,188,5,3238.74,2,4,5,245,11,Loyal/Valuable
12469,523,2,3070.54,1,2,5,125,8,Regular
12470,690,1,196.0,1,1,1,111,3,At Risk / Lost
12471,3,71,35161.85,5,5,5,555,15,Best Customers
12472,33,19,16396.84,4,5,5,455,14,Best Customers
12473,54,3,2545.38,4,3,4,434,11,Loyal/Valuable
12474,18,29,11193.7,5,5,5,555,15,Best Customers
12475,54,2,1065.64,4,2,3,423,9,Loyal/Valuable
12476,16,18,12095.11,5,5,5,555,15,Best Customers
12477,23,9,20225.52,4,5,5,455,14,Best Customers
12478,4,1,545.99,5,1,2,512,8,Regular
12479,12,1,473.2,5,1,2,512,8,Regular
12480,29,7,4817.9,4,4,5,445,13,Best Customers
12481,23,14,11123.59,4,5,5,455,14,Best Customers
12482,577,27,21941.72,1,5,5,155,11,Loyal/Valuable
12483,18,19,4092.58,5,5,5,555,15,Best Customers
12484,36,9,5573.15,4,5,5,455,14,Best Customers
12485,530,1,708.1,1,1,3,113,5,At Risk / Lost
12486,432,1,883.38,1,1,3,113,5,At Risk / Lost
12487,731,1,285.3,1,1,2,112,4,At Risk / Lost
12488,10,3,1075.16,5,3,3,533,11,Loyal/Valuable
12489,337,1,267.03,2,1,1,211,4,At Risk / Lost
12490,6,20,8764.64,5,5,5,555,15,Best Customers
12491,39,1,424.4,4,1,2,412,7,Regular
12492,64,3,607.21,3,3,3,333,9,Loyal/Valuable
12493,166,2,362.79,3,2,2,322,7,Regular
12494,16,9,1602.87,5,5,4,554,14,Best Customers
12495,641,1,277.4,1,1,1,111,3,At Risk / Lost
12496,621,2,54.09,1,2,1,121,4,At Risk / Lost
12497,82,3,5996.5,3,3,5,335,11,Loyal/Valuable
12498,22,3,349.7,4,3,2,432,9,Loyal/Valuable
12499,561,1,357.72,1,1,2,112,4,At Risk / Lost
12500,24,18,5537.26,4,5,5,455,14,Best Customers
12501,337,1,2008.44,2,1,4,214,7,Regular
12502,96,5,2875.22,3,4,4,344,11,Loyal/Valuable
12503,585,1,896.0,1,1,3,113,5,At Risk / Lost
12504,19,4,689.05,5,3,3,533,11,Loyal/Valuable
12505,409,1,753.3,2,1,3,213,6,Regular
12506,233,1,73.5,2,1,1,211,4,At Risk / Lost
12507,135,4,1508.06,3,3,4,334,10,Loyal/Valuable
12508,27,2,398.27,4,2,2,422,8,Regular
12509,285,1,158.5,2,1,1,211,4,At Risk / Lost
12510,143,7,3039.03,3,4,5,345,12,Best Customers
12511,429,1,3047.12,1,1,5,115,7,Regular
12512,67,2,138.03,3,2,1,321,6,Regular
12513,113,1,558.29,3,1,2,312,6,Regular
12514,268,2,1597.76,2,2,4,224,8,Regular
12515,354,1,278.7,2,1,1,211,4,At Risk / Lost
12516,78,4,2288.62,3,3,4,334,10,Loyal/Valuable
